language,height,pclo,tclo,kclo,pvot,tvot,kvot,bclo,dclo,gclo,bvot,dvot,gvot
English,165.1,0.055,0.0685,0.0674,0.1024,0.1127,0.0943,-0.045000000000000005,-0.0315,-0.032600000000000004,0.0023999999999999994,0.012699999999999989,-0.005700000000000011
English,156.21,0.084,0.091,0.07400000000000001,0.085,0.11199999999999999,0.13699999999999998,-0.016,-0.009000000000000008,-0.025999999999999995,-0.015,0.011999999999999983,0.03699999999999998
English,173.74,0.245,0.16899999999999998,0.18899999999999997,0.1,0.111,0.091,0.145,0.06899999999999998,0.08899999999999997,0.0,0.010999999999999996,-0.009000000000000008
English,163.0,0.07400000000000001,0.035,0.064,0.122,0.11,0.14300000000000002,-0.025999999999999995,-0.065,-0.036000000000000004,0.021999999999999992,0.009999999999999995,0.04300000000000001
Japanese,164.0,0.095,0.057,0.044000000000000004,0.098,0.11,0.08199999999999999,-0.0050000000000000044,-0.043000000000000003,-0.056,-0.0020000000000000018,0.009999999999999995,-0.018000000000000016
Mandarin,160.02,0.086,0.06351699999999999,0.085,0.072022,0.108944,0.071269,-0.014000000000000012,-0.036483000000000015,-0.015,-0.027978000000000003,0.008943999999999994,-0.028731000000000007
English,167.0,0.086,0.095,0.07400000000000001,0.11699999999999999,0.107,0.121,-0.014000000000000012,-0.0050000000000000044,-0.025999999999999995,0.016999999999999987,0.006999999999999992,0.02099999999999999
English,157.0,0.13960899999999998,0.125335,0.101935,0.093512,0.105495,0.10419400000000001,0.03960899999999998,0.025334999999999996,0.0019349999999999923,-0.006488000000000008,0.005495,0.004194000000000003
English,185.42,0.010695,0.012884,0.027444999999999997,0.095729,0.10488399999999999,0.081929,-0.08930500000000001,-0.087116,-0.07255500000000001,-0.004271000000000011,0.004883999999999986,-0.018071000000000004
Korean,180.0,0.1777,0.17600000000000002,0.204,0.1105,0.1037,0.1224,0.07769999999999999,0.07600000000000001,0.10399999999999998,0.010499999999999995,0.003699999999999995,0.02239999999999999
Chinese,170.18,0.1348,0.1458,0.1502,0.12485999999999998,0.1025,0.1055,0.0348,0.04580000000000001,0.050199999999999995,0.02485999999999998,0.0024999999999999883,0.005499999999999991
English,172.72,0.0833,0.0849,0.081,0.064,0.102,0.115,-0.016700000000000007,-0.015100000000000002,-0.019000000000000003,-0.036000000000000004,0.001999999999999988,0.015
English,172.0,0.16154000000000002,0.124129,0.148781,0.058388,0.101638,0.076986,0.06154000000000001,0.024128999999999998,0.04878099999999999,-0.041612,0.0016380000000000006,-0.023014000000000007
English,162.0,0.093101,0.115461,0.086522,0.071652,0.100435,0.11565299999999999,-0.006899000000000002,0.015460999999999989,-0.013478000000000004,-0.028348000000000012,0.00043499999999999095,0.015652999999999986
Cantonese,168.0,0.051451,0.069225,0.063988,0.11146099999999999,0.100115,0.112568,-0.04854900000000001,-0.03077500000000001,-0.036012,0.011460999999999985,0.00011499999999999011,0.012567999999999996
Spanish,165.1,0.15,0.14,0.14,0.1,0.1,0.1,0.04999999999999999,0.04000000000000001,0.04000000000000001,0.0,0.0,0.0
English,172.0,0.054000000000000006,0.048,0.069,0.084,0.1,0.124,-0.046,-0.052000000000000005,-0.031,-0.016,0.0,0.023999999999999994
English,175.0,0.069,0.062,0.071,0.057920000000000006,0.099655,0.088821,-0.031,-0.038000000000000006,-0.029000000000000012,-0.04208,-0.00034500000000001196,-0.011179000000000008
English,157.0,0.10800000000000001,0.061,0.068,0.096,0.099,0.08199999999999999,0.008000000000000007,-0.03900000000000001,-0.032,-0.0040000000000000036,-0.0010000000000000009,-0.018000000000000016
English,170.0,0.083,0.081,0.113,0.13,0.098,0.14300000000000002,-0.017,-0.019000000000000003,0.012999999999999998,0.03,-0.0020000000000000018,0.04300000000000001
Tagalog,161.0,0.07,0.055999999999999994,0.039,0.094,0.098,0.102,-0.03,-0.04400000000000001,-0.061000000000000006,-0.006000000000000005,-0.0020000000000000018,0.001999999999999988
English,177.8,0.0412,0.0525,0.055999999999999994,0.0449,0.0975,0.076,-0.058800000000000005,-0.04750000000000001,-0.04400000000000001,-0.0551,-0.0025000000000000022,-0.024000000000000007
English,152.4,0.094083,0.07092000000000001,0.050578,0.135244,0.09739,0.073,-0.005917000000000006,-0.029079999999999995,-0.04942200000000001,0.035244,-0.002610000000000001,-0.02700000000000001
English,162.0,0.133,0.12300000000000001,0.132,0.091,0.09699999999999999,0.096,0.033,0.023000000000000007,0.032,-0.009000000000000008,-0.0030000000000000165,-0.0040000000000000036
English,182.88,0.12,0.079,0.096,0.06,0.096,0.096,0.01999999999999999,-0.021000000000000005,-0.0040000000000000036,-0.04000000000000001,-0.0040000000000000036,-0.0040000000000000036
English,177.8,0.086,0.09699999999999999,0.098,0.084,0.095,0.081,-0.014000000000000012,-0.0030000000000000165,-0.0020000000000000018,-0.016,-0.0050000000000000044,-0.019000000000000003
Cantonese & Mandarin,160.0,0.05,0.028999999999999998,0.049,0.077,0.095,0.086,-0.05,-0.07100000000000001,-0.051000000000000004,-0.023000000000000007,-0.0050000000000000044,-0.014000000000000012
English,170.18,0.0849,0.080124,0.07019700000000001,0.093467,0.094306,0.09856000000000001,-0.015100000000000002,-0.019876000000000005,-0.029802999999999996,-0.006533000000000011,-0.005694000000000005,-0.0014399999999999968
English,162.0,0.078,0.057999999999999996,0.063,0.057999999999999996,0.09300000000000001,0.08,-0.022000000000000006,-0.04200000000000001,-0.037000000000000005,-0.04200000000000001,-0.006999999999999992,-0.020000000000000004
Korean,175.0,0.11079000000000001,0.13914400000000002,0.071938,0.08900000000000001,0.092763,0.12723099999999998,0.010790000000000008,0.03914400000000001,-0.028062000000000004,-0.010999999999999996,-0.007237000000000007,0.027230999999999977
Korean,170.0,0.142,0.11900000000000001,0.1,0.092,0.091,0.025,0.04199999999999998,0.019000000000000003,0.0,-0.008000000000000007,-0.009000000000000008,-0.07500000000000001
Cantonese,165.0,0.127019,0.085774,0.13396,0.141675,0.09082,0.13911300000000001,0.027018999999999987,-0.014226000000000003,0.03395999999999999,0.04167499999999999,-0.009180000000000008,0.03911300000000001
English,161.0,0.078,0.055999999999999994,0.09,0.071,0.08900000000000001,0.071,-0.022000000000000006,-0.04400000000000001,-0.010000000000000009,-0.029000000000000012,-0.010999999999999996,-0.029000000000000012
English,132.0,0.126,0.102,0.08800000000000001,0.09,0.08800000000000001,0.05,0.025999999999999995,0.001999999999999988,-0.011999999999999997,-0.010000000000000009,-0.011999999999999997,-0.05
English,152.4,0.075,0.07200000000000001,0.092,0.068,0.08800000000000001,0.10400000000000001,-0.02500000000000001,-0.027999999999999997,-0.008000000000000007,-0.032,-0.011999999999999997,0.0040000000000000036
English,153.0,0.086635,0.08165900000000001,0.072185,0.09969,0.087613,0.093904,-0.013365000000000002,-0.018340999999999996,-0.027815000000000006,-0.0003100000000000047,-0.012387000000000009,-0.006096000000000004
English,157.48,0.14300000000000002,0.096,0.08,0.073,0.087,0.099,0.04300000000000001,-0.0040000000000000036,-0.020000000000000004,-0.02700000000000001,-0.013000000000000012,-0.0010000000000000009
English,182.88,0.0776,0.0743,0.11802,0.108747,0.085537,0.08205499999999999,-0.022400000000000003,-0.0257,0.018019999999999994,0.008746999999999991,-0.014463000000000004,-0.017945000000000016
English,185.0,0.0841,0.031,0.033,0.0579,0.085,0.075,-0.01590000000000001,-0.069,-0.067,-0.042100000000000005,-0.015,-0.02500000000000001
Korean,165.0,0.19525399999999998,0.17917,0.141233,0.0598,0.084814,0.104803,0.09525399999999998,0.07916999999999999,0.04123299999999999,-0.04020000000000001,-0.015186000000000005,0.004802999999999988
Mandarin,157.48,0.166,0.14400000000000002,0.10400000000000001,0.0895,0.0848,0.0994,0.066,0.04400000000000001,0.0040000000000000036,-0.01050000000000001,-0.015200000000000005,-0.0006000000000000033
English,161.29,0.1312,0.0945,0.0765,0.0898,0.0837,0.1043,0.031200000000000006,-0.005500000000000005,-0.023500000000000007,-0.0102,-0.01630000000000001,0.004299999999999998
English,180.0,0.046,0.055999999999999994,0.024,0.067,0.083,0.08,-0.054000000000000006,-0.04400000000000001,-0.07600000000000001,-0.033,-0.017,-0.020000000000000004
Spanish,155.0,0.096,0.059000000000000004,0.079,0.057,0.083,0.105,-0.0040000000000000036,-0.041,-0.021000000000000005,-0.043000000000000003,-0.017,0.0049999999999999906
English,183.0,0.032,0.025,0.019,0.059000000000000004,0.077,0.065,-0.068,-0.07500000000000001,-0.081,-0.041,-0.023000000000000007,-0.035
English,159.0,0.12340699999999999,0.093886,0.074176,0.072132,0.07619400000000001,0.08827,0.023406999999999983,-0.006114000000000008,-0.025824,-0.027868000000000004,-0.023805999999999994,-0.011730000000000004
English,155.0,0.068,0.083,0.07,0.081,0.076,0.077,-0.032,-0.017,-0.03,-0.019000000000000003,-0.024000000000000007,-0.023000000000000007
English,162.56,0.022000000000000002,0.0429,0.0516,0.0733,0.0752,0.0808,-0.078,-0.057100000000000005,-0.048400000000000006,-0.0267,-0.024800000000000003,-0.01920000000000001
SPANISH,175.26,0.007953,0.0069377,0.007188,0.046582,0.074956,0.033102,-0.092047,-0.0930623,-0.092812,-0.05341800000000001,-0.02504400000000001,-0.06689800000000001
English,170.18,0.03067,0.11699000000000001,0.062769,0.062289,0.073325,0.072068,-0.06933,0.016990000000000005,-0.037231,-0.03771100000000001,-0.026675000000000004,-0.027932000000000012
English,165.1,0.065829,0.053447,0.05846900000000001,0.07584099999999999,0.07266399999999999,0.054571,-0.03417100000000001,-0.046553000000000004,-0.041531,-0.024159000000000014,-0.027336000000000013,-0.045429000000000004
English,173.99,0.075,0.081,0.033,0.043,0.07200000000000001,0.10300000000000001,-0.02500000000000001,-0.019000000000000003,-0.067,-0.05700000000000001,-0.027999999999999997,0.0030000000000000027
Mandarin Chinese,168.0,0.1379,0.17165,0.1059,0.05995,0.07095,0.07837999999999999,0.03789999999999999,0.07164999999999999,0.005899999999999989,-0.04005,-0.029050000000000006,-0.021620000000000014
English,157.0,0.096,0.11800000000000001,0.121,0.071,0.069,0.128,-0.0040000000000000036,0.018000000000000002,0.02099999999999999,-0.029000000000000012,-0.031,0.027999999999999997
English,164.6,0.0415,0.0553,0.0149,0.0861,0.0687,0.0835,-0.0585,-0.044700000000000004,-0.08510000000000001,-0.01390000000000001,-0.03130000000000001,-0.0165
English,165.0,0.076,0.075,0.077,0.076,0.068,0.07400000000000001,-0.024000000000000007,-0.02500000000000001,-0.023000000000000007,-0.024000000000000007,-0.032,-0.025999999999999995
English,182.0,0.080683,0.078547,0.113876,0.046183,0.067228,0.67228,-0.019317,-0.021453,0.013876,-0.053817000000000004,-0.03277200000000001,0.57228
English,180.34,0.080342,0.093914,0.0874,0.051571000000000006,0.06514299999999999,0.063514,-0.01965800000000001,-0.006086000000000008,-0.0126,-0.048429,-0.03485700000000001,-0.036486000000000005
English,165.1,0.07306499999999999,0.04724,0.050276,0.077454,0.06498999999999999,0.083597,-0.026935000000000014,-0.05276000000000001,-0.049724000000000004,-0.02254600000000001,-0.03501000000000001,-0.016403
English,183.0,0.126,0.12,0.10800000000000001,0.057,0.064,0.105,0.025999999999999995,0.01999999999999999,0.008000000000000007,-0.043000000000000003,-0.036000000000000004,0.0049999999999999906
English,177.8,0.051,0.044000000000000004,0.043,0.059000000000000004,0.062,0.063,-0.04900000000000001,-0.056,-0.05700000000000001,-0.041,-0.038000000000000006,-0.037000000000000005
English,165.0,0.07,0.06,0.05,0.044000000000000004,0.06,0.07,-0.03,-0.04000000000000001,-0.05,-0.056,-0.04000000000000001,-0.03
English,183.0,0.076989,0.073987,0.068332,0.068105,0.055999999999999994,0.042,-0.023011000000000004,-0.02601300000000001,-0.031668,-0.03189500000000001,-0.04400000000000001,-0.058
English,169.0,0.12334500000000001,0.109197,0.086509,0.047258,0.054946,0.07889600000000001,0.023345000000000005,0.009196999999999997,-0.013491000000000003,-0.052742000000000004,-0.045054000000000004,-0.021103999999999998
English,170.0,0.095,0.10300000000000001,0.073,0.061,0.05,0.042,-0.0050000000000000044,0.0030000000000000027,-0.02700000000000001,-0.03900000000000001,-0.05,-0.058
English,172.0,0.073489,0.080191,0.06953,0.031827,0.044963,0.055,-0.026511000000000007,-0.019809000000000007,-0.03047000000000001,-0.06817300000000001,-0.055037,-0.045000000000000005
English,177.8,0.06396900000000001,0.057411000000000004,0.057219000000000006,0.016649,0.03718,0.0342,-0.036030999999999994,-0.042589,-0.042781,-0.08335100000000001,-0.06282000000000001,-0.0658
English,165.1,0.020388999999999997,0.034015,0.029602999999999997,0.102494,0.015612000000000001,0.088521,-0.07961100000000002,-0.06598500000000002,-0.07039700000000002,0.0024939999999999962,-0.084388,-0.011479000000000003
English,182.34,0.079,0.055999999999999994,0.086,0.062,0.013000000000000001,0.114,-0.021000000000000005,-0.04400000000000001,-0.014000000000000012,-0.038000000000000006,-0.08700000000000001,0.013999999999999999
Dutch,165.0,0.08026599999999999,0.046238999999999995,0.039974,0.055211,0.007098999999999999,0.009497,-0.019734000000000015,-0.05376100000000001,-0.060026,-0.044789,-0.09290100000000001,-0.090503
English,183.0,0.012,0.03,0.05,0.03,0.006999999999999999,0.02,-0.08800000000000001,-0.07,-0.05,-0.07,-0.093,-0.08
