language,height,pclo,tclo,kclo,pvot,tvot,kvot,bclo,dclo,gclo,bvot,dvot,gvot
English,162.5,0.022000000000000002,0.0207,0.0262,0.086985,0.0878774,0.0916206,-0.078,-0.07930000000000001,-0.0738,-0.013014999999999999,-0.012122600000000011,-0.008379400000000009
English,177.0,0.081,0.032,0.039,0.07200000000000001,0.049,0.043,-0.019000000000000003,-0.068,-0.061000000000000006,-0.027999999999999997,-0.051000000000000004,-0.05700000000000001
English,170.18,0.07,0.07,0.07,0.15,0.23,0.12,-0.03,-0.03,-0.03,0.04999999999999999,0.13,0.01999999999999999
English,178.0,0.034,0.055999999999999994,0.028999999999999998,0.17,0.19,0.077,-0.066,-0.04400000000000001,-0.07100000000000001,0.07,0.09,-0.023000000000000007
English,177.8,0.14400000000000002,0.094,0.063,0.132,0.153,0.177,0.04400000000000001,-0.006000000000000005,-0.037000000000000005,0.032,0.05299999999999999,0.07699999999999999
Cantonese,163.0,0.16899999999999998,0.162,0.136,0.107376,0.14649500000000001,0.159,0.06899999999999998,0.062,0.036000000000000004,0.007375999999999994,0.04649500000000001,0.059
English,149.86,0.14983,0.13516199999999998,0.113,0.10465799999999999,0.140656,0.122,0.049829999999999985,0.03516199999999997,0.012999999999999998,0.004657999999999982,0.040656,0.021999999999999992
English,162.0,0.114,0.073,0.107,0.10400000000000001,0.14,0.113,0.013999999999999999,-0.02700000000000001,0.006999999999999992,0.0040000000000000036,0.04000000000000001,0.012999999999999998
English,178.0,0.114346,0.062,0.04,0.108563,0.134802,0.012187,0.014345999999999998,-0.038000000000000006,-0.060000000000000005,0.008563000000000001,0.034802,-0.087813
English,167.64,0.132,0.132,0.10300000000000001,0.096,0.133,0.086,0.032,0.032,0.0030000000000000027,-0.0040000000000000036,0.033,-0.014000000000000012
English,157.48,0.12,0.12,0.1,0.12,0.13,0.11,0.01999999999999999,0.01999999999999999,0.0,0.01999999999999999,0.03,0.009999999999999995
English,162.56,0.122,0.126,0.12300000000000001,0.08800000000000001,0.12300000000000001,0.083,0.021999999999999992,0.025999999999999995,0.023000000000000007,-0.011999999999999997,0.023000000000000007,-0.017
Russian,175.0,0.06,0.046,0.077,0.081,0.121,0.098,-0.04000000000000001,-0.054000000000000006,-0.023000000000000007,-0.019000000000000003,0.02099999999999999,-0.0020000000000000018
English,170.7,0.105,0.14,0.12,0.036000000000000004,0.12,0.094,0.0049999999999999906,0.04000000000000001,0.01999999999999999,-0.064,0.01999999999999999,-0.006000000000000005
Mandarin Chinese,158.0,0.085,0.069,0.055999999999999994,0.106,0.11900000000000001,0.11199999999999999,-0.015,-0.031,-0.04400000000000001,0.0059999999999999915,0.019000000000000003,0.011999999999999983
English,181.0,0.041946,0.074909,0.0487,0.035996,0.113278,0.068538,-0.05805400000000001,-0.025091000000000002,-0.051300000000000005,-0.064004,0.013277999999999998,-0.031462000000000004
