language,gender,height,pvot,tvot,kvot,bvot,dvot,gvot,pclo,tclo,kclo,bclo,dclo,gclo,class
Mandarin,Female,160,96,105,87,26,36,33,125,111,124,161,94,110,Fall 2017
English,Female,151,116,118,126,47,42,45,53,57,52,50,59,67,Fall 2017
Tagalog,Male,152.4,58,103,124,-40,-75,-35,113,92,94,88,75,61,Fall 2017
English,Female,154.94,100,94,90,21,35,37,110,88,72,126,83,84,Fall 2017
English,Female,154.94,115,128,123,-16,66,37,48,46,74,65,34,62,Fall 2017
English,Female,154.94,130,124,119,11,9,24,82,53,72,122,76,35,Fall 2017
English,Female,155,59,90,100,34,28,40,100,126,99,156,127,101,Fall 2017
English,Female,155,118,122,138,-8,-31,-32,263,237,199,133,136,152,Fall 2017
English,Female,156.2,106,110,136,-12,19,-31,61,60,42,107,68,56,Fall 2017
English,Female,157,43,61,72,-107,29,29,109,92,100,126,111,70,Fall 2017
English,Female,157,97,102,124,23,37,58,115,128,98,156,142,143,Fall 2017
Vietnamese,Female,157.48,59,-145,-118,55,96,80,86,72,104,68,134,154,Fall 2017
English,Female,157.48,71,124,87,-125,-98,0,94,177,106,14,42,97,Fall 2017
English,Female,157.48,88,121,106,-52,-32,-48,65,50,62,71,65,69,Fall 2017
English,Female,157.48,92,104,76,12,10,35,81,67,82,58,35,67,Fall 2017
English,Female,158,54,58,71,80,-103,46,71,51,88,58,74,61,Fall 2017
English,Female,158,86,49,75,9,-96,14,49,23,82,67,78,75,Fall 2017
English,Female,159,83,80,96,10,85,35,77,61,69,94,70,76,Fall 2017
Mandarin,Female,159,140,155,148,20,22,34,108,126,119,167,119,136,Fall 2017
English,Female,159.385,58,91,75,20,19,41,110,107,74,116,124,93,Fall 2017
Korean,Female,160,94,102,93,24,21,52,89,102,121,139,81,110,Fall 2017
English,Female,160,72,90,79,21,21,19,106,71,70,140,96,96,Fall 2017
Korean,Female,160,81,114,122,22,40,44,115,87,84,117,169,101,Fall 2017
English,Female,160,88,91,76,-103,25,31,78,52,73,101,79,61,Fall 2017
Farsi,Female,160,96,85,123,16,12,38,99,85,71,99,80,66,Fall 2017
English,Female,160,97,126,108,90,68,70,95,92,89,122,97,128,Fall 2017
English,Female,160,104,50,60,-65,-16,-39,97,41,50,99,89,84,Fall 2017
Mandarin,Female,160,170,104,143,10,0,39,123,80,93,58,41,31,Fall 2017
Mandarin,Female,160.02,73,110,118,18,11,30,79,167,94,90,77,80,Fall 2017
English,Female,160.02,82,131,123,13,19,23,74,61,57,44,58,71,Fall 2017
English,Male,160.02,99,129,112,-101,-97,-84,92,45,64,93,71,66,Fall 2017
Mandarin,Female,161,59,98,105,-12,-25,-20,113,64,76,119,81,91,Fall 2017
Japanese,Female,161,66,93,131,-110,-108,-98,133,87,80,125,105,102,Fall 2017
Japanese,Female,161,79,100,67,-110,-18,37,198,105,117,158,164,182,Fall 2017
English,Prefer not to answer,161,177,88,112,-161,19,30,109,75,76,53,41,57,Fall 2017
English,Female,161.5,75,105,91,15,-32,-27,127,88,79,122,91,83,Fall 2017
Mandarin,Female,161.5,97,125,119,-158,-138,-163,93,97,76,126,101,114,Fall 2017
English,Female,162,65,79,80,25,14,27,93,77,80,99,149,101,Fall 2017
English,Male,162,94,105,150,13,24,31,55,39,59,46,22,23,Fall 2017
English,Female,162.5,54,72,80,17,24,-93,69,62,76,101,92,59,Fall 2017
English,Female,162.56,97,103,-116,27,13,28,120,106,107,178,172,148,Fall 2017
English,Female,162.56,125,119,147,-35,-23,-21,85,77,76,65,41,37,Fall 2017
English,Female,162.56,149,113,210,161,33,22,44,25,13,56,71,15,Fall 2017
English,Female,163,45,42,59,10,12,20,99,83,73,85,66,59,Fall 2017
Mandarin,Female,163,72,102,158,-89,-87,-99,91,93,91,92,86,105,Fall 2017
English,Male,163,90,95,106,14,15,46,107,93,68,96,106,62,Fall 2017
English,Female,163,108,193,156,-32,-29,-38,132,108,94,109,99,92,Fall 2017
English,Female,163.8,123,113,124,41,60,56,95,86,76,103,60,94,Fall 2017
English,Female,165,50,82,73,12,-22,-36,87,76,65,104,68,33,Fall 2017
Mandarin,Female,165,123,101,114,34,32,38,66,70,59,91,107,81,Fall 2017
English,Female,165.1,24,2,1,12,26,83,47,64,51,59,36,63,Fall 2017
English,Female,165.1,74,83,97,17,26,27,158,73,103,107,85,122,Fall 2017
Mandarin,Female,167,138,151,106,-81,-61,-78,90,97,87,122,115,78,Fall 2017
English,Prefer not to answer,167,150,92,180,-16,-16,-33,59,59,123,107,126,153,Fall 2017
English,Female,167.64,48,83,79,9,18,16,52,47,73,91,92,84,Fall 2017
English,Female,167.64,49,71,106,16,17,27,83,87,83,83,91,68,Fall 2017
