language,gender,height,closure,vot,pclo,tclo,kclo,pvot,tvot,kvot
English,Female,162.5,0.022966667,0.088827667,0.022,0.0207,0.0262,0.086985,0.0878774,0.0916206
English,Male,177,0.050666667,0.054666667,0.081,0.032,0.039,0.072,0.049,0.043
English,Female,170.18,0.07,0.166666667,0.07,0.07,0.07,0.15,0.23,0.12
English,Male,178,0.039666667,0.145666667,0.034,0.056,0.029,0.17,0.19,0.077
English,Female,177.8,0.100333333,0.154,0.144,0.094,0.063,0.132,0.153,0.177
Cantonese,Female,163,0.155666667,0.137623667,0.169,0.162,0.136,0.107376,0.146495,0.159
English,Female,149.86,0.132664,0.122438,0.14983,0.135162,0.113,0.104658,0.140656,0.122
English,Female,162,0.098,0.119,0.114,0.073,0.107,0.104,0.14,0.113
English,Male,178,0.072115333,0.085184,0.114346,0.062,0.04,0.108563,0.134802,0.012187
English,Male,167.64,0.122333333,0.105,0.132,0.132,0.103,0.096,0.133,0.086
English,Female,157.48,0.113333333,0.12,0.12,0.12,0.1,0.12,0.13,0.11
English,Female,162.56,0.123666667,0.098,0.122,0.126,0.123,0.088,0.123,0.083
Russian,Female,175,0.061,0.1,0.06,0.046,0.077,0.081,0.121,0.098
English,Female,170.7,0.121666667,0.083333333,0.105,0.14,0.12,0.036,0.12,0.094
Mandarin Chinese,Female,158,0.07,0.112333333,0.085,0.069,0.056,0.106,0.119,0.112
English,Male,181,0.055185,0.072604,0.041946,0.074909,0.0487,0.035996,0.113278,0.068538
English,Female,165.1,0.063633333,0.103133333,0.055,0.0685,0.0674,0.1024,0.1127,0.0943
English,Female,156.21,0.083,0.111333333,0.084,0.091,0.074,0.085,0.112,0.137
English,Female,173.74,0.201,0.100666667,0.245,0.169,0.189,0.1,0.111,0.091
English,Female,163,0.057666667,0.125,0.074,0.035,0.064,0.122,0.11,0.143
Japanese,Female,164,0.065333333,0.096666667,0.095,0.057,0.044,0.098,0.11,0.082
Mandarin,Female,160.02,0.078172333,0.084078333,0.086,0.063517,0.085,0.072022,0.108944,0.071269
English,Female,167,0.085,0.115,0.086,0.095,0.074,0.117,0.107,0.121
English,Female,157,0.122293,0.101067,0.139609,0.125335,0.101935,0.093512,0.105495,0.104194
English,Male,185.42,0.017008,0.094180667,0.010695,0.012884,0.027445,0.095729,0.104884,0.081929
Korean,Male,180,0.1859,0.1122,0.1777,0.176,0.204,0.1105,0.1037,0.1224
Chinese,Female,170.18,0.1436,0.110953333,0.1348,0.1458,0.1502,0.12486,0.1025,0.1055
English,Female,172.72,0.083066667,0.093666667,0.0833,0.0849,0.081,0.064,0.102,0.115
English,Male,172,0.144816667,0.079004,0.16154,0.124129,0.148781,0.058388,0.101638,0.076986
English,Female,162,0.098361333,0.095913333,0.093101,0.115461,0.086522,0.071652,0.100435,0.115653
Cantonese,Male,168,0.061554667,0.108048,0.051451,0.069225,0.063988,0.111461,0.100115,0.112568
Spanish,Female,165.1,0.143333333,0.1,0.15,0.14,0.14,0.1,0.1,0.1
English,Female,172,0.057,0.102666667,0.054,0.048,0.069,0.084,0.1,0.124
English,Male,175,0.067333333,0.082132,0.069,0.062,0.071,0.05792,0.099655,0.088821
English,Female,157,0.079,0.092333333,0.108,0.061,0.068,0.096,0.099,0.082
English,Female,170,0.092333333,0.123666667,0.083,0.081,0.113,0.13,0.098,0.143
Tagalog,Female,161,0.055,0.098,0.07,0.056,0.039,0.094,0.098,0.102
English,Male,177.8,0.0499,0.0728,0.0412,0.0525,0.056,0.0449,0.0975,0.076
English,Female,152.4,0.071860333,0.101878,0.094083,0.07092,0.050578,0.135244,0.09739,0.073
English,Female,162,0.129333333,0.094666667,0.133,0.123,0.132,0.091,0.097,0.096
English,Female,182.88,0.098333333,0.084,0.12,0.079,0.096,0.06,0.096,0.096
English,Male,177.8,0.093666667,0.086666667,0.086,0.097,0.098,0.084,0.095,0.081
Cantonese & Mandarin,Female,160,0.042666667,0.086,0.05,0.029,0.049,0.077,0.095,0.086
English,Female,170.18,0.078407,0.095444333,0.0849,0.080124,0.070197,0.093467,0.094306,0.09856
English,Female,162,0.066333333,0.077,0.078,0.058,0.063,0.058,0.093,0.08
Korean,Male,175,0.107290667,0.102998,0.11079,0.139144,0.071938,0.089,0.092763,0.127231
Korean,Male,170,0.120333333,0.069333333,0.142,0.119,0.1,0.092,0.091,0.025
Cantonese,Female,165,0.115584333,0.123869333,0.127019,0.085774,0.13396,0.141675,0.09082,0.139113
English,Female,161,0.074666667,0.077,0.078,0.056,0.09,0.071,0.089,0.071
English,Female,132,0.105333333,0.076,0.126,0.102,0.088,0.09,0.088,0.05
English,Other / prefer not to answer,152.4,0.079666667,0.086666667,0.075,0.072,0.092,0.068,0.088,0.104
English,Female,153,0.080159667,0.093735667,0.086635,0.081659,0.072185,0.09969,0.087613,0.093904
English,Female,157.48,0.106333333,0.086333333,0.143,0.096,0.08,0.073,0.087,0.099
English,Male,182.88,0.089973333,0.092113,0.0776,0.0743,0.11802,0.108747,0.085537,0.082055
English,Male,185,0.049366667,0.072633333,0.0841,0.031,0.033,0.0579,0.085,0.075
Korean,Male,165,0.171885667,0.083139,0.195254,0.17917,0.141233,0.0598,0.084814,0.104803
Mandarin,Other / prefer not to answer,157.48,0.138,0.091233333,0.166,0.144,0.104,0.0895,0.0848,0.0994
English,Female,161.29,0.100733333,0.0926,0.1312,0.0945,0.0765,0.0898,0.0837,0.1043
English,Male,180,0.042,0.076666667,0.046,0.056,0.024,0.067,0.083,0.08
Spanish,Female,155,0.078,0.081666667,0.096,0.059,0.079,0.057,0.083,0.105
English,Male,183,0.025333333,0.067,0.032,0.025,0.019,0.059,0.077,0.065
English,Other / prefer not to answer,159,0.097156333,0.078865333,0.123407,0.093886,0.074176,0.072132,0.076194,0.08827
English,Female,155,0.073666667,0.078,0.068,0.083,0.07,0.081,0.076,0.077
English,Female,162.56,0.038833333,0.076433333,0.022,0.0429,0.0516,0.0733,0.0752,0.0808
SPANISH,Male,175.26,0.007359567,0.051546667,0.007953,0.0069377,0.007188,0.046582,0.074956,0.033102
English,Female,170.18,0.070143,0.069227333,0.03067,0.11699,0.062769,0.062289,0.073325,0.072068
English,Female,165.1,0.059248333,0.067692,0.065829,0.053447,0.058469,0.075841,0.072664,0.054571
English,Male,173.99,0.063,0.072666667,0.075,0.081,0.033,0.043,0.072,0.103
Mandarin Chinese,Male,168,0.138483333,0.06976,0.1379,0.17165,0.1059,0.05995,0.07095,0.07838
English,Female,157,0.111666667,0.089333333,0.096,0.118,0.121,0.071,0.069,0.128
English,Female,164.6,0.037233333,0.079433333,0.0415,0.0553,0.0149,0.0861,0.0687,0.0835
English,Female,165,0.076,0.072666667,0.076,0.075,0.077,0.076,0.068,0.074
English,Other / prefer not to answer,182,0.091035333,0.261897,0.080683,0.078547,0.113876,0.046183,0.067228,0.67228
English,Male,180.34,0.087218667,0.060076,0.080342,0.093914,0.0874,0.051571,0.065143,0.063514
English,Female,165.1,0.056860333,0.075347,0.073065,0.04724,0.050276,0.077454,0.06499,0.083597
English,Male,183,0.118,0.075333333,0.126,0.12,0.108,0.057,0.064,0.105
English,Male,177.8,0.046,0.061333333,0.051,0.044,0.043,0.059,0.062,0.063
English,Male,165,0.06,0.058,0.07,0.06,0.05,0.044,0.06,0.07
English,Male,183,0.073102667,0.055368333,0.076989,0.073987,0.068332,0.068105,0.056,0.042
English,Female,169,0.106350333,0.060366667,0.123345,0.109197,0.086509,0.047258,0.054946,0.078896
English,Male,170,0.090333333,0.051,0.095,0.103,0.073,0.061,0.05,0.042
English,Male,172,0.074403333,0.04393,0.073489,0.080191,0.06953,0.031827,0.044963,0.055
English,Male,177.8,0.059533,0.029343,0.063969,0.057411,0.057219,0.016649,0.03718,0.0342
English,Female,165.1,0.028002333,0.068875667,0.020389,0.034015,0.029603,0.102494,0.015612,0.088521
English,Male,182.34,0.073666667,0.063,0.079,0.056,0.086,0.062,0.013,0.114
Dutch,Female,165,0.055493,0.023935667,0.080266,0.046239,0.039974,0.055211,0.007099,0.009497
English,Male,183,0.030666667,0.019,0.012,0.03,0.05,0.03,0.007,0.02
